simplified,curation_level,canonical_traditional,record_type,simplification_types,source_count,traditional_sources,has_unihan,has_chise_ids,has_opencc_mapping,has_cedict_evidence,quality_gate
板,auto_external,闆,multi_source_merge,多对一合并;待人工考据,2,板 闆,True,True,True,True,pass
万,auto_external,萬,multi_source_merge,多对一合并;待人工考据,2,萬 万,True,True,True,True,pass
表,auto_external,錶,multi_source_merge,多对一合并;待人工考据,2,表 錶,True,True,True,True,pass
云,auto_external,雲,multi_source_merge,多对一合并;待人工考据,2,雲 云,True,True,True,True,pass
宁,auto_external,寧,multi_source_merge,多对一合并;待人工考据,2,寧 甯,True,True,True,True,pass
游,auto_external,遊,multi_source_merge,多对一合并;待人工考据,2,遊 游,True,True,True,True,pass
吃,auto_external,喫,multi_source_merge,多对一合并;待人工考据,2,喫 吃,True,True,True,True,pass
核,auto_external,覈,multi_source_merge,多对一合并;待人工考据,2,核 覈,True,True,True,True,pass
药,auto_external,藥,multi_source_merge,多对一合并;待人工考据,2,藥 葯,True,True,True,True,pass
曲,auto_external,麴,multi_source_merge,多对一合并;待人工考据,2,曲 麴,True,True,True,True,pass
症,auto_external,癥,multi_source_merge,多对一合并;待人工考据,2,症 癥,True,True,True,True,pass
广,auto_external,廣,multi_source_merge,多对一合并;待人工考据,2,廣 广,True,True,True,True,pass
于,auto_external,於,multi_source_merge,多对一合并;待人工考据,2,於 于,True,True,True,True,pass
背,auto_external,揹,multi_source_merge,多对一合并;待人工考据,2,背 揹,True,True,True,True,pass
证,auto_external,證,multi_source_merge,多对一合并;待人工考据,2,證 証,True,True,True,True,pass
了,auto_external,瞭,multi_source_merge,多对一合并;待人工考据,2,了 瞭,True,True,True,True,pass
托,auto_external,託,multi_source_merge,多对一合并;待人工考据,2,託 托,True,True,True,True,pass
术,auto_external,術,multi_source_merge,多对一合并;待人工考据,2,術 朮,True,True,True,True,pass
叶,auto_external,葉,multi_source_merge,多对一合并;待人工考据,2,葉 叶,True,True,True,True,pass
团,auto_external,團,multi_source_merge,多对一合并;待人工考据,2,團 糰,True,True,True,True,pass
周,auto_external,週,multi_source_merge,多对一合并;待人工考据,2,周 週,True,True,True,True,pass
斗,auto_external,鬥,multi_source_merge,多对一合并;待人工考据,2,鬥 斗,True,True,True,True,pass
千,auto_external,韆,multi_source_merge,多对一合并;待人工考据,2,千 韆,True,True,True,True,pass
价,auto_external,價,multi_source_merge,多对一合并;待人工考据,2,價 价,True,True,True,True,pass
别,auto_external,別,multi_source_merge,多对一合并;待人工考据,2,別 彆,True,True,True,True,pass
虫,auto_external,蟲,multi_source_merge,多对一合并;待人工考据,2,蟲 虫,True,True,True,True,pass
烟,auto_external,煙,multi_source_merge,多对一合并;待人工考据,2,煙 菸,True,True,True,True,pass
松,auto_external,鬆,multi_source_merge,多对一合并;待人工考据,2,松 鬆,True,True,True,True,pass
局,auto_external,侷,multi_source_merge,多对一合并;待人工考据,2,局 侷,True,True,True,True,pass
豆,auto_external,荳,multi_source_merge,多对一合并;待人工考据,2,豆 荳,True,True,True,True,pass
恶,auto_external,惡,multi_source_merge,多对一合并;待人工考据,2,惡 噁,True,True,True,True,pass
修,auto_external,脩,multi_source_merge,多对一合并;待人工考据,2,修 脩,True,True,True,True,pass
个,auto_external,個,multi_source_merge,多对一合并;待人工考据,2,個 箇,True,True,True,True,pass
枪,auto_external,槍,multi_source_merge,多对一合并;待人工考据,2,槍 鎗,True,True,True,True,pass
佛,auto_external,彿,multi_source_merge,多对一合并;待人工考据,2,佛 彿,True,True,True,True,pass
尽,auto_external,盡,multi_source_merge,多对一合并;待人工考据,2,盡 儘,True,True,True,True,pass
志,auto_external,誌,multi_source_merge,多对一合并;待人工考据,2,志 誌,True,True,True,True,pass
冲,auto_external,衝,multi_source_merge,多对一合并;待人工考据,2,衝 沖,True,True,True,True,pass
岩,auto_external,巖,multi_source_merge,多对一合并;待人工考据,2,巖 岩,True,True,True,True,pass
暗,auto_external,闇,multi_source_merge,多对一合并;待人工考据,2,暗 闇,True,True,True,True,pass
针,auto_external,針,multi_source_merge,多对一合并;待人工考据,2,針 鍼,True,True,True,True,pass
折,auto_external,摺,multi_source_merge,多对一合并;待人工考据,2,折 摺,True,True,True,True,pass
坐,auto_external,座,multi_source_merge,多对一合并;待人工考据,2,坐 座,True,True,True,True,pass
征,auto_external,徵,multi_source_merge,多对一合并;待人工考据,2,徵 征,True,True,True,True,pass
秋,auto_external,鞦,multi_source_merge,多对一合并;待人工考据,2,秋 鞦,True,True,True,True,pass
准,auto_external,準,multi_source_merge,多对一合并;待人工考据,2,準 准,True,True,True,True,pass
卷,auto_external,捲,multi_source_merge,多对一合并;待人工考据,2,卷 捲,True,True,True,True,pass
历,auto_external,歷,multi_source_merge,多对一合并;待人工考据,2,歷 曆,True,True,True,True,pass
谷,auto_external,穀,multi_source_merge,多对一合并;待人工考据,2,谷 穀,True,True,True,True,pass
录,auto_external,錄,multi_source_merge,多对一合并;待人工考据,2,錄 彔,True,True,True,True,pass
几,auto_external,幾,multi_source_merge,多对一合并;待人工考据,2,幾 几,True,True,True,True,pass
念,auto_external,唸,multi_source_merge,多对一合并;待人工考据,2,念 唸,True,True,True,True,pass
丰,auto_external,豐,multi_source_merge,多对一合并;待人工考据,2,豐 丰,True,True,True,True,pass
旋,auto_external,鏇,multi_source_merge,多对一合并;待人工考据,2,旋 鏇,True,True,True,True,pass
才,auto_external,纔,multi_source_merge,多对一合并;待人工考据,2,才 纔,True,True,True,True,pass
致,auto_external,緻,multi_source_merge,多对一合并;待人工考据,2,致 緻,True,True,True,True,pass
注,auto_external,註,multi_source_merge,多对一合并;待人工考据,2,注 註,True,True,True,True,pass
溪,auto_external,谿,multi_source_merge,多对一合并;待人工考据,2,溪 谿,True,True,True,True,pass
杆,auto_external,桿,multi_source_merge,多对一合并;待人工考据,2,杆 桿,True,True,True,True,pass
借,auto_external,藉,multi_source_merge,多对一合并;待人工考据,2,借 藉,True,True,True,True,pass
据,auto_external,據,multi_source_merge,多对一合并;待人工考据,2,據 据,True,True,True,True,pass
巨,auto_external,鉅,multi_source_merge,多对一合并;待人工考据,2,巨 鉅,True,True,True,True,pass
舍,auto_external,捨,multi_source_merge,多对一合并;待人工考据,2,舍 捨,True,True,True,True,pass
吊,auto_external,弔,multi_source_merge,多对一合并;待人工考据,2,吊 弔,True,True,True,True,pass
拿,auto_external,拏,multi_source_merge,多对一合并;待人工考据,2,拿 拏,True,True,True,True,pass
欲,auto_external,慾,multi_source_merge,多对一合并;待人工考据,2,欲 慾,True,True,True,True,pass
玩,auto_external,翫,multi_source_merge,多对一合并;待人工考据,2,玩 翫,True,True,True,True,pass
